date_from,date_to,country_code,destination_country,count
2022-03-07,2022-03-13,123,FIN,14918
2022-03-07,2022-03-13,124,FRA,24994
2022-03-07,2022-03-13,125,CZE,11635
2022-03-07,2022-03-13,126,CHE,4300
2022-03-07,2022-03-13,127,SWE,6536
2022-03-07,2022-03-13,159,KAZ,642327
2022-03-07,2022-03-13,167,AZE,23093
2022-03-07,2022-03-13,168,ARM,39631
2022-03-07,2022-03-13,169,GEO,28687
2022-03-07,2022-03-13,171,UZB,84195
2022-03-07,2022-03-13,179,EST,10661
2022-03-07,2022-03-13,180,SRB,8993
2022-03-07,2022-03-13,181,ISR,20567
2022-03-07,2022-03-13,204,ESP,20012
2022-03-07,2022-03-13,205,ITA,12663
2022-03-07,2022-03-13,206,LVA,11973
2022-03-07,2022-03-13,207,KGZ,74683
2022-03-07,2022-03-13,209,TJK,71595
2022-03-07,2022-03-13,210,ARE,23016
2022-03-07,2022-03-13,211,AUS,1822
2022-03-07,2022-03-13,246,GRC,5336
2022-03-07,2022-03-13,983,TUR,82775
2022-03-07,2022-03-13,994,IND,5733
2022-03-07,2022-03-13,995,THA,25399
2022-03-07,2022-03-13,1056,EGY,26196
2022-03-07,2022-03-13,10074,PRT,2203
2022-03-07,2022-03-13,10077,ROU,3823
2022-03-07,2022-03-13,10083,HRV,1825
2022-03-07,2022-03-13,20574,CYP,8085
2022-03-07,2022-03-13,21610,MNE,4627
2022-03-14,2022-03-20,84,USA,67287
2022-03-14,2022-03-20,95,CAN,6304
2022-03-14,2022-03-20,96,DEU,70269
2022-03-14,2022-03-20,102,GBR,18218
2022-03-14,2022-03-20,113,AUT,5292
2022-03-14,2022-03-20,114,BEL,4697
2022-03-14,2022-03-20,115,BGR,9655
2022-03-14,2022-03-20,116,HUN,4250
2022-03-14,2022-03-20,117,LTU,8870
2022-03-14,2022-03-20,118,NLD,33988
2022-03-14,2022-03-20,119,NOR,4413
2022-03-14,2022-03-20,120,POL,33513
2022-03-14,2022-03-20,121,SVK,2249
2022-03-14,2022-03-20,122,SVN,1296
2022-03-14,2022-03-20,123,FIN,22144
2022-03-14,2022-03-20,124,FRA,51840
2022-03-14,2022-03-20,125,CZE,14627
2022-03-14,2022-03-20,126,CHE,4555
2022-03-14,2022-03-20,127,SWE,9531
2022-03-14,2022-03-20,159,KAZ,669175
2022-03-14,2022-03-20,167,AZE,19862
2022-03-14,2022-03-20,168,ARM,36181
2022-03-14,2022-03-20,169,GEO,27211
2022-03-14,2022-03-20,171,UZB,82815
2022-03-14,2022-03-20,179,EST,11256
2022-03-14,2022-03-20,180,SRB,9672
2022-03-14,2022-03-20,181,ISR,21014
2022-03-14,2022-03-20,204,ESP,20254
2022-03-14,2022-03-20,205,ITA,14190
2022-03-14,2022-03-20,206,LVA,12614
2022-03-14,2022-03-20,207,KGZ,69230
2022-03-14,2022-03-20,209,TJK,66443
2022-03-14,2022-03-20,210,ARE,15786
2022-03-14,2022-03-20,211,AUS,2051
2022-03-14,2022-03-20,246,GRC,4845
2022-03-14,2022-03-20,983,TUR,65737
2022-03-14,2022-03-20,994,IND,7269
2022-03-14,2022-03-20,995,THA,20154
2022-03-14,2022-03-20,1056,EGY,17659
2022-03-14,2022-03-20,10074,PRT,1923
2022-03-14,2022-03-20,10077,ROU,5507
2022-03-14,2022-03-20,10083,HRV,1766
2022-03-14,2022-03-20,20574,CYP,7411
2022-03-14,2022-03-20,21610,MNE,4400
2022-03-21,2022-03-27,84,USA,52531
2022-03-21,2022-03-27,95,CAN,5888
2022-03-21,2022-03-27,96,DEU,73708
2022-03-21,2022-03-27,102,GBR,17413
2022-03-21,2022-03-27,113,AUT,5112
2022-03-21,2022-03-27,114,BEL,8313
2022-03-21,2022-03-27,115,BGR,8875
2022-03-21,2022-03-27,116,HUN,4007
2022-03-21,2022-03-27,117,LTU,9785
2022-03-21,2022-03-27,118,NLD,28639
2022-03-21,2022-03-27,119,NOR,3867
2022-03-21,2022-03-27,120,POL,33108
2022-03-21,2022-03-27,121,SVK,1943
2022-03-21,2022-03-27,122,SVN,1355
2022-03-21,2022-03-27,123,FIN,17657
2022-03-21,2022-03-27,124,FRA,47476
2022-03-21,2022-03-27,125,CZE,14692
2022-03-21,2022-03-27,126,CHE,4467
2022-03-21,2022-03-27,127,SWE,9695
2022-03-21,2022-03-27,159,KAZ,604860
